Id;Date;Begin;End;Distance(m);Speed(km/h)
1;05/07/2023;18:40:16;18:40:18;6.68;24.03
2;05/07/2023;18:40:18;18:40:21;12.80;46.03
1;05/07/2023;18:40:18;18:40:21;3.39;12.18
3;05/07/2023;18:40:19;18:40:21;4.21;15.13
2;05/07/2023;18:40:21;18:40:24;13.98;50.27
3;05/07/2023;18:40:21;18:40:24;3.67;13.22
2;05/07/2023;18:40:24;18:40:26;14.74;53.02
3;05/07/2023;18:40:24;18:40:27;2.10;7.54
2;05/07/2023;18:40:26;18:40:29;16.24;58.42
3;05/07/2023;18:40:27;18:40:30;1.79;5.36
2;05/07/2023;18:40:29;18:40:32;12.92;46.45
4;05/07/2023;18:40:32;18:40:36;0.10;0.36
4;05/07/2023;18:40:36;18:40:38;0.07;0.26
5;05/07/2023;18:40:36;18:40:39;11.92;42.88
3;05/07/2023;18:40:30;18:40:39;0.14;0.18
5;05/07/2023;18:40:39;18:40:41;13.35;48.02
3;05/07/2023;18:40:39;18:40:42;0.09;0.31
5;05/07/2023;18:40:41;18:40:44;15.06;54.16
3;05/07/2023;18:40:42;18:40:45;0.04;0.16
5;05/07/2023;18:40:44;18:40:47;15.59;56.06
3;05/07/2023;18:40:45;18:40:47;0.17;0.60
5;05/07/2023;18:40:47;18:40:50;14.64;52.67
3;05/07/2023;18:40:47;18:40:50;0.41;1.46
3;05/07/2023;18:40:50;18:40:53;0.34;1.24
3;05/07/2023;18:40:53;18:40:55;0.05;0.19
3;05/07/2023;18:40:55;18:40:58;0.23;0.82
3;05/07/2023;18:40:58;18:41:01;1.00;3.42
3;05/07/2023;18:41:01;18:41:04;4.57;16.44
3;05/07/2023;18:41:04;18:41:07;4.45;16.02
3;05/07/2023;18:41:07;18:41:09;7.44;26.75
3;05/07/2023;18:41:09;18:41:12;6.25;22.46
12;05/07/2023;18:42:43;18:42:45;7.77;27.93
12;05/07/2023;18:42:45;18:42:48;6.66;23.94
12;05/07/2023;18:42:48;18:42:51;10.02;36.05
12;05/07/2023;18:42:51;18:42:53;8.40;30.20
13;05/07/2023;18:42:52;18:42:55;7.72;27.77
12;05/07/2023;18:42:53;18:42:56;9.47;34.07
13;05/07/2023;18:42:55;18:42:58;9.58;34.47
12;05/07/2023;18:42:56;18:42:59;9.61;34.56
13;05/07/2023;18:42:58;18:43:01;5.01;18.04
12;05/07/2023;18:42:59;18:43:02;9.51;34.22
13;05/07/2023;18:43:01;18:43:03;13.51;48.59
13;05/07/2023;18:43:03;18:43:06;13.34;47.98
13;05/07/2023;18:43:06;18:43:09;5.14;18.49
15;05/07/2023;18:43:07;18:43:10;12.76;45.88
15;05/07/2023;18:43:10;18:43:13;11.41;41.02
15;05/07/2023;18:43:13;18:43:16;11.05;39.75
15;05/07/2023;18:43:16;18:43:18;13.31;47.89
15;05/07/2023;18:43:18;18:43:21;13.00;46.77
18;05/07/2023;18:45:01;18:45:03;6.88;24.76
18;05/07/2023;18:45:03;18:45:06;6.20;22.30
26;05/07/2023;18:46:57;18:47:00;8.60;30.93
26;05/07/2023;18:47:00;18:47:03;8.99;32.32
26;05/07/2023;18:47:03;18:47:06;9.97;35.86
26;05/07/2023;18:47:06;18:47:08;10.37;37.29
27;05/07/2023;18:47:06;18:47:08;8.68;31.23
28;05/07/2023;18:47:08;18:47:11;10.19;36.64
26;05/07/2023;18:47:08;18:47:11;10.66;38.34
27;05/07/2023;18:47:08;18:47:11;10.32;37.12
28;05/07/2023;18:47:11;18:47:14;10.17;36.58
26;05/07/2023;18:47:11;18:47:14;11.61;41.75
27;05/07/2023;18:47:11;18:47:14;10.55;37.94
28;05/07/2023;18:47:14;18:47:17;10.97;39.45
26;05/07/2023;18:47:14;18:47:17;9.83;35.35
27;05/07/2023;18:47:14;18:47:17;10.90;39.19
28;05/07/2023;18:47:17;18:47:20;12.50;44.96
27;05/07/2023;18:47:17;18:47:20;11.15;40.10
28;05/07/2023;18:47:20;18:47:23;12.10;43.53
27;05/07/2023;18:47:20;18:47:23;11.17;40.16
29;05/07/2023;18:47:21;18:47:24;10.45;37.60
30;05/07/2023;18:47:23;18:47:26;12.51;44.98
29;05/07/2023;18:47:24;18:47:27;9.76;35.09
30;05/07/2023;18:47:26;18:47:29;13.04;46.91
29;05/07/2023;18:47:27;18:47:31;8.66;31.13
30;05/07/2023;18:47:29;18:47:32;14.20;51.06
29;05/07/2023;18:47:31;18:47:34;6.84;24.61
30;05/07/2023;18:47:32;18:47:35;15.25;54.84
29;05/07/2023;18:47:34;18:47:37;5.89;21.19
31;05/07/2023;18:48:37;18:48:40;7.14;25.67
31;05/07/2023;18:48:40;18:48:42;9.64;34.66
34;05/07/2023;18:50:30;18:50:32;8.71;31.34
34;05/07/2023;18:50:32;18:50:35;10.29;37.01
34;05/07/2023;18:50:35;18:50:38;8.91;32.03
36;05/07/2023;18:50:37;18:50:40;8.13;29.24
34;05/07/2023;18:50:38;18:50:41;7.81;28.09
36;05/07/2023;18:50:40;18:50:42;11.67;41.98
34;05/07/2023;18:50:41;18:50:44;5.70;20.51
36;05/07/2023;18:50:42;18:50:45;11.81;42.49
34;05/07/2023;18:50:44;18:50:46;3.80;13.66
36;05/07/2023;18:50:45;18:50:48;13.10;47.11
34;05/07/2023;18:50:46;18:50:49;3.83;13.77
34;05/07/2023;18:50:49;18:50:52;4.41;15.86
34;05/07/2023;18:50:52;18:50:55;4.00;14.40
34;05/07/2023;18:50:55;18:50:57;2.51;9.03
41;05/07/2023;18:53:42;18:53:45;8.47;30.45
41;05/07/2023;18:53:45;18:53:48;10.98;39.49
41;05/07/2023;18:53:48;18:53:51;11.53;41.47
41;05/07/2023;18:53:51;18:53:54;11.90;42.80
41;05/07/2023;18:53:54;18:53:56;12.85;46.22
41;05/07/2023;18:53:56;18:53:59;10.75;38.67
43;05/07/2023;18:54:00;18:54:02;9.45;33.97
43;05/07/2023;18:54:02;18:54:05;9.07;32.63
43;05/07/2023;18:54:05;18:54:08;6.66;23.97
44;05/07/2023;18:54:06;18:54:08;12.51;44.99
43;05/07/2023;18:54:08;18:54:10;11.22;40.33
44;05/07/2023;18:54:08;18:54:11;13.91;50.03
43;05/07/2023;18:54:10;18:54:13;8.52;30.66
44;05/07/2023;18:54:11;18:54:14;14.81;53.25
43;05/07/2023;18:54:13;18:54:16;8.48;30.49
43;05/07/2023;18:54:16;18:54:18;7.18;25.84
43;05/07/2023;18:54:18;18:54:21;6.69;24.07
43;05/07/2023;18:54:21;18:54:24;6.48;23.31
45;05/07/2023;18:54:40;18:54:43;1.89;6.79
46;05/07/2023;18:54:44;18:54:46;6.98;25.09
46;05/07/2023;18:54:46;18:54:49;4.77;17.17
46;05/07/2023;18:54:49;18:54:52;4.58;16.47
46;05/07/2023;18:54:52;18:54:55;3.41;12.26
46;05/07/2023;18:54:55;18:54:58;1.74;6.27
47;05/07/2023;18:55:01;18:55:03;3.52;12.66
47;05/07/2023;18:55:03;18:55:06;6.51;23.42
47;05/07/2023;18:55:06;18:55:09;8.67;31.19
47;05/07/2023;18:55:09;18:55:11;9.77;35.15
47;05/07/2023;18:55:11;18:55:14;9.38;33.72
47;05/07/2023;18:55:14;18:55:17;9.93;35.71
47;05/07/2023;18:55:17;18:55:19;10.37;37.28
47;05/07/2023;18:55:19;18:55:22;10.46;37.63
47;05/07/2023;18:55:22;18:55:25;7.51;27.02
48;05/07/2023;18:55:53;18:55:56;8.03;28.87
51;05/07/2023;18:58:03;18:58:06;16.01;57.57
51;05/07/2023;18:58:06;18:58:09;16.09;57.86
52;05/07/2023;18:58:07;18:58:10;12.71;45.72
51;05/07/2023;18:58:09;18:58:12;17.84;64.14
52;05/07/2023;18:58:10;18:58:12;10.29;37.00
51;05/07/2023;18:58:12;18:58:14;18.61;66.93
52;05/07/2023;18:58:12;18:58:15;9.87;35.51
53;05/07/2023;18:58:15;18:58:17;6.89;24.77
52;05/07/2023;18:58:15;18:58:18;10.67;38.39
53;05/07/2023;18:58:17;18:58:20;11.58;41.65
52;05/07/2023;18:58:18;18:58:21;8.73;31.39
53;05/07/2023;18:58:20;18:58:23;10.67;38.37
54;05/07/2023;18:58:22;18:58:24;6.85;24.63
53;05/07/2023;18:58:23;18:58:26;11.16;40.15
54;05/07/2023;18:58:24;18:58:27;9.72;34.97
53;05/07/2023;18:58:26;18:58:28;11.96;43.00
54;05/07/2023;18:58:27;18:58:30;9.38;33.72
53;05/07/2023;18:58:28;18:58:31;12.48;44.89
54;05/07/2023;18:58:30;18:58:33;12.35;44.41
54;05/07/2023;18:58:33;18:58:35;11.60;41.72
54;05/07/2023;18:58:35;18:58:38;12.27;44.14
54;05/07/2023;18:58:38;18:58:41;12.71;45.70
57;05/07/2023;19:00:28;19:00:30;12.66;45.54
57;05/07/2023;19:00:30;19:00:33;11.42;41.09
57;05/07/2023;19:00:33;19:00:36;5.18;18.63
57;05/07/2023;19:00:36;19:00:38;13.32;47.92
57;05/07/2023;19:00:38;19:00:41;9.60;34.51
59;05/07/2023;19:01:02;19:01:04;9.97;35.87
59;05/07/2023;19:01:04;19:01:07;10.26;36.90
59;05/07/2023;19:01:07;19:01:09;12.08;43.45
59;05/07/2023;19:01:09;19:01:12;12.78;45.95
60;05/07/2023;19:01:12;19:01:14;11.86;42.65
59;05/07/2023;19:01:12;19:01:15;13.60;48.92
61;05/07/2023;19:01:12;19:01:15;13.68;49.20
60;05/07/2023;19:01:14;19:01:18;9.70;34.90
59;05/07/2023;19:01:15;19:01:18;13.84;49.78
61;05/07/2023;19:01:15;19:01:18;14.52;52.23
60;05/07/2023;19:01:18;19:01:20;14.35;51.61
59;05/07/2023;19:01:18;19:01:21;10.80;38.84
61;05/07/2023;19:01:18;19:01:21;16.07;57.80
60;05/07/2023;19:01:20;19:01:23;11.49;41.33
61;05/07/2023;19:01:21;19:01:24;17.06;61.37
60;05/07/2023;19:01:23;19:01:26;14.90;53.58
60;05/07/2023;19:01:26;19:01:28;13.54;48.69
62;05/07/2023;19:01:33;19:01:36;7.53;27.09
62;05/07/2023;19:01:36;19:01:38;8.59;30.89
62;05/07/2023;19:01:38;19:01:41;12.79;46.00
62;05/07/2023;19:01:41;19:01:43;12.18;43.82
62;05/07/2023;19:01:43;19:01:46;13.08;47.04
62;05/07/2023;19:01:46;19:01:49;13.69;49.24
62;05/07/2023;19:01:49;19:01:52;12.11;43.56
